timestamp,hour,wind speed,wind direction,friction velocity,wind speed_10 m,wind direction_10 m
20200417,18,3.0,111.0,4.17127139613865,4.365672596893378,111.0
20200417,19,3.1,110.0,4.310313776009939,4.5111950167898245,110.0
20200417,20,3.3,108.0,4.588398535752515,4.802239856582716,108.0
20200417,21,3.5,105.0,4.866483295495091,5.093284696375608,105.0
20200417,22,3.7,101.0,5.144568055237668,5.3843295361685,101.0
20200417,23,3.9,97.0,5.422652814980244,5.6753743759613915,97.0
20200418,0,4.1,94.0,5.700737574722821,5.966419215754283,94.0
20200418,1,4.1,92.0,5.700737574722821,5.966419215754283,92.0
20200418,2,3.9,91.0,5.422652814980244,5.6753743759613915,91.0
20200418,3,3.7,92.0,5.144568055237668,5.3843295361685,92.0
20200418,4,3.3,95.0,4.588398535752515,4.802239856582716,95.0
20200418,5,2.9,98.0,4.032229016267361,4.220150176996932,98.0
20200418,6,2.6,102.0,3.615101876653496,3.7835829173075948,102.0
20200418,7,2.4,106.0,3.3370171169109195,3.492538077514703,106.0
20200418,8,2.2,111.0,3.0589323571683433,3.2014932377218113,111.0
20200418,9,2.2,114.0,3.0589323571683433,3.2014932377218113,114.0
20200418,10,2.2,115.0,3.0589323571683433,3.2014932377218113,115.0
20200418,11,2.3,117.0,3.197974737039631,3.3470156576182566,117.0
20200418,12,2.4,117.0,3.3370171169109195,3.492538077514703,117.0
20200418,13,2.5,117.0,3.476059496782208,3.6380604974111486,117.0
20200418,14,2.4,118.0,3.3370171169109195,3.492538077514703,118.0
20200418,15,2.4,117.0,3.3370171169109195,3.492538077514703,117.0
20200418,16,2.4,117.0,3.3370171169109195,3.492538077514703,117.0
20200418,17,2.4,116.0,3.3370171169109195,3.492538077514703,116.0
20200418,18,2.5,112.0,3.476059496782208,3.6380604974111486,112.0
20200418,19,2.6,107.0,3.615101876653496,3.7835829173075948,107.0
20200418,20,2.8,103.0,3.8931866363960723,4.074627757100486,103.0
20200418,21,2.9,99.0,4.032229016267361,4.220150176996932,99.0
20200418,22,3.0,97.0,4.17127139613865,4.365672596893378,97.0
20200418,23,3.2,95.0,4.449356155881227,4.656717436686271,95.0
20200419,0,3.2,94.0,4.449356155881227,4.656717436686271,94.0
20200419,1,3.0,93.0,4.17127139613865,4.365672596893378,93.0
20200419,2,2.6,93.0,3.615101876653496,3.7835829173075948,93.0
20200419,3,2.2,92.0,3.0589323571683433,3.2014932377218113,92.0
20200419,4,2.0,91.0,2.7808475974257663,2.910448397928919,91.0
20200419,5,1.8,89.0,2.50276283768319,2.6194035581360273,89.0
20200419,6,1.6,91.0,2.2246780779406135,2.3283587183431353,91.0
20200419,7,1.2,93.0,1.6685085584554598,1.7462690387573514,93.0
20200419,8,0.8,97.0,1.1123390389703067,1.1641793591715677,97.0
20200419,9,0.7,94.0,0.9732966590990181,1.0186569392751215,94.0
20200419,10,0.7,90.0,0.9732966590990181,1.0186569392751215,90.0
20200419,11,0.8,88.0,1.1123390389703067,1.1641793591715677,88.0
20200419,12,1.1,93.0,1.5294661785841717,1.6007466188609056,93.0
20200419,13,1.4,94.0,1.9465933181980362,2.037313878550243,94.0
20200419,14,1.6,93.0,2.2246780779406135,2.3283587183431353,93.0
20200419,15,1.8,91.0,2.50276283768319,2.6194035581360273,91.0
20200419,16,1.7,88.0,2.3637204578119015,2.473881138239581,88.0
20200419,17,1.5,86.0,2.085635698069325,2.182836298446689,86.0
20200419,18,0.8,95.0,1.1123390389703067,1.1641793591715677,95.0
20200419,19,0.3,199.0,0.41712713961386494,0.43656725968933785,199.0
20200419,20,0.9,251.0,1.251381418841595,1.3097017790680137,251.0
20200419,21,1.2,257.0,1.6685085584554598,1.7462690387573514,257.0
20200419,22,1.0,255.0,1.3904237987128831,1.4552241989644594,255.0
